　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　忠犬八公物语　　　　　　　	   9.0    	  63736   	养狗三日，便会对你终其一生。
　　　　　　　　碧海蓝天　　　　　　　　	   8.7    	  110695  	在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
　　　　　再次出发之纽约遇见你　　　　　	   8.5    	  180280  	爱我就给我看你的播放列表。
　　　　　　　　阿飞正传　　　　　　　　	   8.5    	  193879  	王家卫是一种风格，张国荣是一个代表。
　　　　　　　　　青蛇　　　　　　　　　	   8.4    	  232664  	人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
　　　　　　　　东京物语　　　　　　　　	   9.2    	  53800   	东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
　　　　　　　　哪吒闹海　　　　　　　　	   8.9    	  84996   	想你时你在闹海。　　
　　　　　　　秒速5厘米　　　　　　　　	   8.3    	  313632  	青春就是放弃和怀念。
　　　　　　　　末路狂花　　　　　　　　	   8.7    	  109979  	没有了退路，只好飞向自由。
　　　　　　　　海盗电台　　　　　　　　	   8.6    	  170232  	生命不止，摇滚不死。
　　　　　　　　模仿游戏　　　　　　　　	   8.6    	  268344  	他给机器起名“克里斯托弗”，因为这是他初恋的名字。
　　　　　　终结者2：审判日　　　　　　	   8.6    	  147630  	少见的超越首部的续集，动作片中的经典。
　　　　　　　　源代码　　　　　　　　　	   8.3    	  425646  	邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
　　　　　　　　绿里奇迹　　　　　　　　	   8.7    	  111423  	天使暂时离开。　　　
　　　　　黑客帝国3：矩阵革命　　　　　	   8.5    	  163612  	不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
　　　　　　　新龙门客栈　　　　　　　　	   8.5    	  192958  	嬉笑怒骂，调风动月。
　　　　　　　勇闯夺命岛　　　　　　　　	   8.5    	  147490  	类型片的极致。 　　
　　　　一个叫欧维的男人决定去死　　　　	   8.7    	  127158  	惠及一生的美丽。　　
　　　　　　这个男人来自地球　　　　　　	   8.5    	  190705  	科幻真正的魅力不是视觉效果能取代的。 
　　　　　　　你的名字。　　　　　　　　	   8.4    	  498257  	穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
　　　　　　　卡萨布兰卡　　　　　　　　	   8.6    	  129797  	世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
　　　　　　　　城市之光　　　　　　　　	   9.2    	  46580   	永远的小人物，伟大的卓别林。
　　　　　　　　　变脸　　　　　　　　　	   8.4    	  222410  	当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
　　　　　　E.T. 外星人　　　　　　	   8.5    	  160007  	生病的E.T.皮肤的颜色就像柿子饼。
　　　　　　　初恋这件小事　　　　　　　	   8.3    	  481838  	黑小鸭速效美白记。　
　　　　　　　　无耻混蛋　　　　　　　　	   8.4    	  232281  	昆汀同学越来越变态了，比北野武还杜琪峰。
　　　　　　　　荒野生存　　　　　　　　	   8.6    	  132530  	出门必备：本草纲目。
　　　　　　　　发条橙　　　　　　　　　	   8.4    	  193099  	我完全康复了。　　　
　　　　　　　黄金三镖客　　　　　　　　	   9.1    	  53970   	最棒的西部片。　　　
　　　　　　　　迁徙的鸟　　　　　　　　	   9.1    	  53241   	最美的飞翔。　　　　
　　　　　　　　美国丽人　　　　　　　　	   8.4    	  192623  	每个人的内心都是深不可测的大海。 
　　　　　　　　无人知晓　　　　　　　　	   9.0    	  60846   	我的平常生活就是他人的幸福。
　　　　　　爱在午夜降临前　　　　　　　	   8.8    	  122043  	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
　　　　　　　　英国病人　　　　　　　　	   8.4    	  179069  	In memory, love lives forever...
　　　　　　　　燕尾蝶　　　　　　　　　	   8.6    	  110576  	现实与童话交相辉映的旅程。
　　　　　　　疯狂的石头　　　　　　　　	   8.3    	  329720  	中国版《两杆大烟枪》。
　　　　　　　非常嫌疑犯　　　　　　　　	   8.6    	  121062  	我不信仰上帝，但我敬畏上帝。
　　　　　　　叫我第一名　　　　　　　　	   8.6    	  112654  	乐观比一切都有力量。
　　　　　　　　　勇士　　　　　　　　　	   8.9    	  90534   	热血沸腾，相当完美的娱乐拳击大餐。
　　　　　　　无敌破坏王　　　　　　　　	   8.6    	  191340  	迪士尼和皮克斯拿错剧本的产物。
　　　　　　　　穆赫兰道　　　　　　　　	   8.3    	  243720  	大卫·林奇的梦境迷宫。
　　　　　　　国王的演讲　　　　　　　　	   8.3    	  353382  	皇上无话儿。　　　　
　　　　　　　　步履不停　　　　　　　　	   8.8    	  78238   	日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
　　　　　　　　　血钻　　　　　　　　　	   8.5    	  138564  	每个美丽事物背后都是滴血的现实。
　　　　　　彗星来的那一夜　　　　　　　	   8.4    	  188277  	小成本大魅力。　　　
　　　　　　　上帝也疯狂　　　　　　　　	   8.6    	  99394   	纯净原始的笑与感动。
　　　　　　　　　枪火　　　　　　　　　	   8.6    	  103740  	一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
　　　　　　大卫·戈尔的一生　　　　　　	   8.6    	  97572   	捍卫人权只是信仰，一点不妨碍其行为的残忍。
　　　　　　　　蓝色大门　　　　　　　　	   8.3    	  279431  	青春的窃窃私语。 　
　　　　　　　　遗愿清单　　　　　　　　	   8.5    	  134788  	用剩余不多的时间，去燃烧整个生命。
　　　　　　　　我爱你　　　　　　　　　	   9.0    	  60181   	你要相信，这世上真的有爱存在，不管在什么年纪 
　　　　　　　　荒岛余生　　　　　　　　	   8.5    	  139811  	一个人的独角戏。　　
　　　　　　　　千钧一发　　　　　　　　	   8.7    	  89856   	一部能引人思考的科幻励志片。
　　　　　　　　　聚焦　　　　　　　　　	   8.8    	  132795  	无　　　　　　　　　
　　　　　　　　爱·回家　　　　　　　　	   9.0    	  48965   	献给所有外婆的电影。
　　　　　　　　黑鹰坠落　　　　　　　　	   8.5    	  120383  	还原真实而残酷的战争。
　　　　　　　　麦兜故事　　　　　　　　	   8.5    	  132007  	麦兜是一只很哲学的猪。 
　　　　　　　暖暖内含光　　　　　　　　	   8.4    	  149212  	恋爱是一次神经的冒险。就算失去记忆，也会爱上你。
